"","game_id","team_name","x","y","end_y","end_z","player_id","surname","outcome","power","body_part","first_name","known_name"
"6836",750814,"MarÃ­timo",88.5,50,48.1,2.5,166711,"Dias Marinho","saved","regular","right foot","Vanderley",""
"6837",765695,"FC Porto",88.5,50,46.7,4.4,126437,"Quintero","saved","regular","left foot","Juan",""
"6838",750128,"AcadÃ©mica de Coimbra",88.5,50,45.9,13.9,49649,"Gelmini Gomes","goal","regular","right foot","Marcos Paulo",""
"6839",750128,"VitÃ³ria SetÃºbal",88.5,50,54,4.2,155476,"da Luz Horta","saved","regular","right foot","Ricardo Jorge",""
"6840",765703,"FC Porto",88.5,50,45.6,1.9,77064,"Martínez","goal","regular","right foot","Jackson",""
"6841",765703,"VitÃ³ria GuimarÃ£es",88.5,50,48.9,18.4,184939,"Mensah","goal","regular","right foot","Bernard",""
"6842",750812,"Belenenses",88.5,50.2,47.2,15.2,109312,"Ferreira","saved","regular","right foot","Fernando",""
"6843",750812,"Estoril-Praia",88.5,50,45.9,0.6,52287,"Goebel","goal","regular","right foot","Evandro",""
"6844",751198,"Benfica",88.5,50,53.6,1.9,55661,"Pérez","goal","regular","right foot","Enzo",""
"6845",751198,"FC Porto",88.5,50,53.7,29.7,77064,"Martínez","goal","regular","right foot","Jackson",""
"6846",751200,"PaÃ§os de Ferreira",88.5,50,54.3,5.1,84374,"Dias Correia","goal","regular","right foot","Tiago Manuel",""
"6847",750429,"Sporting Lisbon",88.4,50.1,46.4,0.6,46483,"Perruchet Silva","goal","regular","right foot","Adrien Sebastian",""
"6848",750809,"VitÃ³ria SetÃºbal",88.5,50,51.5,23.4,167783,"Martins de Souza","goal","strong","right foot","Rafael",""
"6849",751199,"Belenenses",88.5,50,47.8,4.4,109306,"Jesus Rosa","saved","regular","right foot","Miguel Alexandre",""
"6850",765724,"Sporting Braga",88.5,50,53,3.2,83672,"Mendes Andrade","goal","regular","left foot","Jos� Lu�s",""
"6851",765717,"Benfica",88.5,50,46.9,6.3,52550,"Lima dos Santos","goal","regular","right foot","Rodrigo Jos�",""
"6852",765775,"Benfica",88.5,50,53.5,3.2,55661,"Pérez","goal","regular","right foot","Enzo",""
"6853",765754,"Penafiel",88.5,50,53,1.3,44808,"Coelho Lopes","goal","regular","right foot","Tiago Andr�",""
"6854",765753,"VitÃ³ria GuimarÃ£es",88.5,50,46.3,1.9,88775,"Bras André","goal","regular","right foot","Andr� Filipe",""
"6855",765757,"Estoril-Praia",88.5,50,46,14.6,151130,"Pinheiro de Carvalho","goal","regular","right foot","Ant�nio Jos�",""
"6856",765721,"VitÃ³ria GuimarÃ£es",88.5,50,57.1,13.9,184939,"Mensah","miss","regular","right foot","Bernard",""
"6857",765771,"Penafiel",88.5,50,54.5,1.9,44808,"Coelho Lopes","goal","regular","right foot","Tiago Andr�",""
"6858",765766,"VitÃ³ria GuimarÃ£es",88.5,50,45.5,25.3,88775,"Bras André","goal","regular","right foot","Andr� Filipe",""
"6859",765746,"Penafiel",88.5,50,45.5,25.9,57135,"Guedes","goal","regular","right foot","Helder",""
"6860",765733,"VitÃ³ria GuimarÃ£es",88.5,50,46,3.2,88775,"Bras André","goal","regular","right foot","Andr� Filipe",""
"6861",765730,"VitÃ³ria SetÃºbal",88.5,50,47.6,24.1,120460,"Schmidt Urbano","goal","regular","left foot","Jo�o Felipe",""
"6862",765788,"Belenenses",88.5,50,45.8,0.6,78689,"Kulembe Ribeiro","saved","regular","right foot","Alfredo",""
"6863",765776,"CD Nacional",88.5,50,52.5,6.3,125404,"Silva Lopes Matias","goal","regular","right foot","Marco Andr�",""
"6864",801975,"KVC Westerlo",88.5,50,48.8,39.9,19772,"Daems","woodwork","regular","left foot","Filip",""
"6865",801977,"RSC Anderlecht",88.5,50,48.1,31,51781,"Suárez","goal","regular","right foot","Mat�as",""
"6866",801979,"KRC Genk",88.5,50,46,0.6,92259,"Kebano","goal","regular","right foot","Neeskens",""
"6867",801978,"KAA Gent",88.5,50,45.9,3.2,53720,"Kums","goal","regular","right foot","Sven",""
"6868",801983,"Oud-Heverlee Leuven",88.5,50,47.3,32.3,48897,"Bostock","goal","regular","left foot","John",""
"6869",801982,"SV Zulte Waregem",88.5,50,51.3,2.5,54310,"Leye","goal","regular","right foot","Mbaye",""
"6870",801984,"KVC Westerlo",88.5,50,49.4,0.6,120962,"Gounongbe","goal","regular","left foot","Frederic",""
"6871",802372,"PEC Zwolle",88.5,50,54.1,18.4,39075,"van Polen","goal","regular","right foot","Bram",""
"6872",820302,"AlavÃ©s",88.5,50,50.6,17.1,55378,"García Sánchez","goal","regular","left foot","Manuel Alejandro",""
"6873",820308,"MirandÃ©s",88.5,50,54,24.7,60757,"Lago","goal","regular","right foot","Junior Wakalible",""
"6874",788529,"Montreal Impact",88.5,50,46,2.5,37996,"Piatti","goal","regular","right foot","Ignacio",""
"6875",788527,"D.C. United",88.5,50,54,66.7,60152,"Pontius","miss","regular","right foot","Chris",""
"6876",816141,"Rio Ave",88.5,50,47.8,1.9,46432,"Alves Monteiro","saved","regular","right foot","Andre Filipe",""
"6877",820300,"AlcorcÃ³n",88.5,50,45.9,1.3,54323,"Rodríguez Sánchez","goal","regular","right foot","David",""
"6878",820304,"GimnÃ¡stic de Tarragona",88.5,50,51,1.3,90081,"Jiménez de la Espada","goal","regular","right foot","Marcos",""
"6879",791500,"D.C. United",88.5,50,54.4,15.2,28094,"Rolfe","goal","regular","right foot","Chris",""
"6880",695475,"Birmingham City",88.2,50.7,45.6,3.8,42460,"Caddis","goal","regular","right foot","Paul",""
"6881",695437,"Nottingham Forest",88.5,50,48.4,12,27440,"Cox","saved","regular","right foot","Simon",""
"6882",695336,"Derby County",88.5,50,46.6,4.4,42453,"Russell","saved","regular","left foot","Johnny",""
"6883",695644,"Blackburn Rovers",88.5,50,52.3,3.8,20047,"Rhodes","goal","regular","right foot","Jordan",""
"6884",695503,"Huddersfield Town",88.5,50,47.1,5.1,19916,"Vaughan","saved","regular","right foot","James",""
"6885",791482,"Sporting Kansas City",88.5,50,52.5,3.8,20525,"Feilhaber","goal","regular","right foot","Benny",""
"6886",791506,"Chicago Fire",88.5,50,53.9,2.5,41551,"Larentowicz","saved","regular","right foot","Jeff",""
"6887",755966,"Bournemouth",88.5,50,53.6,8.9,44558,"Kermorgant","goal","regular","right foot","Yann",""
"6888",755986,"Birmingham City",88.5,50,46.2,1.9,42460,"Caddis","goal","regular","right foot","Paul",""
"6889",755998,"Bournemouth",88.5,50,52,40.5,44558,"Kermorgant","woodwork","regular","right foot","Yann",""
"6890",756012,"Middlesbrough",88.5,50,49,1.9,10460,"Leadbitter","goal","regular","right foot","Grant",""
"6891",756057,"Birmingham City",88.5,50,46.4,2.8,42460,"Caddis","saved","regular","right foot","Paul",""
"6892",756091,"Bournemouth",88.5,50,48.1,1.9,44558,"Kermorgant","goal","regular","right foot","Yann",""
"6893",756090,"Sheffield Wednesday",88.5,50,53.7,1.9,62492,"Nuhiu","goal","regular","right foot","Atdhe",""
"6894",756110,"Norwich City",88.5,50,47.7,27.2,28221,"Hooper","goal","strong","right foot","Gary",""
"6895",756110,"Millwall",88.5,50,46,5.1,80199,"Gregory","goal","regular","right foot","Lee",""
"6896",756139,"Bournemouth",88.5,50,54.5,20.3,44558,"Kermorgant","goal","regular","right foot","Yann",""
"6897",756139,"Bournemouth",88.5,50,45.7,8.9,19678,"Pitman","goal","regular","right foot","Brett",""
"6898",756115,"Bournemouth",88.5,50,49.1,3.8,75115,"Wilson","goal","regular","right foot","Callum",""
"6899",756204,"Leeds United",88.5,50,45.9,15.8,18867,"Sharp","saved","regular","right foot","Billy",""
